filename	content	sources
001	General grammar	Грамматика современного якутского литературного языка : [в 2 томах] / Акад. наук СССР, Сиб. отд- ние, Якут. фил., Ин-т яз. лит.и истории; [редкол.: Е. И. Убрятова (отв. ред.), Е. И. Коркина, Л. Н. Харитонов, Н. Е. Петров]. – Москва : Наука, 1982-1995. Т. 1: Фонетика и морфология / [Л. Н. Харитонов, Н. Д. Дьячковский, С. А. Иванов и др.]. – Москва: Наука, 1982. – 495 с.
002	Verbal moods	Коркина Е.И. Наклонения глагола в якутском языке / Е. И. Коркина ; Акад. наук СССР, Якут. фил. Сиб. отд- ния, Ин-т яз., лит. и истории ; [отв. ред. проф. Л. Н. Харитонов]. – Москва : Наука, 1970. – 306 с.
003	Participles	Коркина Е.И. Деепричастия в якутском языке / Е. И. Коркина; отв. ред. к. филол. н. Н. Е. Петров; Акад. наук СССР, Сиб. отд-ние, Якут. фил., Ин-т яз., лит. и истории. – Новосибирск : Наука, Сибирское отделение, 1985. – 203 с.
004	Verb voice	Харитонов Л.Н. Залоговые формы глагола в якутском языке / Л. Н. Харитонов; Акад. наук СССР, Якут. фил. Сиб. отд-ния, Ин-т яз., лит. и истории. – Москва; Ленинград: Изд-во АН СССР, 1963. – 123 с.
005	Immutable words	Харитонов Л.Н. Неизменяемые слова в якутском языке : пособие для учителей / Л. Н. Харитонов ; Нар. комиссариат просвещения ЯАССР. – Якутск : Государственное издательство ЯАССР, 1943. – 82 с.
006	Particles	Петров Н.Е. Частицы в якутском языке. – Якутск : Кн.изд-во, 1978. – 298 с.
007	Modal words	Петров Н.Е. Модальные слова в якутском языке / Н. Е. Петров ; ответственный редактор Е. И. Коркина ; Академия наук СССР, Сибирское отделение, Якутский филиал, Институт языка, литературы и истории. - Новосибирск : Наука, 1984. - 204 с.
008	General grammar	Харитонов Л.Н. Современный якутский язык = Саха билигиҥҥи тыла / Науч.-исслед. ин-т яз., лит. и истории ЯАССР ; под ред. проф. Н. К. Дмитриева. – Якутск : Госиздат ЯАССР, 1947.
009	General grammar	Данилова Н.И. Курс якутской грамматики: система морфологических категорий и синтаксических конструкций : учеб. пособие для студентов филол. фак. ЯГУ / Н. И. Данилова, Н. И. Попова, Н. Н. Ефремов ; Акад. наук Респ. Саха (Якутия), Ин-т гуманитар. исслед . – Якутск : ИГИ АН РС(Я), 2004. – 195 с.
010	Language self-study guide	Черосов М.А. Поговорим по-якутски : Самоучитель якут. яз. / Под ред. Н.Д.Дьячковского. – Якутск : Кн. изд- во, 1982. – 158 с.
011	Verb voice	Попова, Н. И. Категория залога в контексте теории синтаксической деривации ( на материале якутского языка) / Н. И. Попова // Тюркские и северные языки : материалы научно-практической конференции, посвященной 100-летию со дня рождения Луки Никифоровича Харитонова (Якутск, 25-26 октября 2001 г.). – Якутск : Издательство СО РАН, Якутский филиал, 2002. – С. 148-158.
012	Verb voice	Данилова Н.И. Якутские залоговые конструкции: к проблеме многозначности // Вестник НГУ. Серия: Лингвистика и межкультурная коммуникация. 2018. №4.
013	Verb voice	Винокурова Л.В., Ефимова А.Д., Иванова В.И. Категории залога якутского и французского языков // Современное Педагогическое Образование Учредители: Общество с Ограниченной Ответственностью Издательство Кнорус. – №. 12. – С. 199-203.
014	Verb voice	Данилова Н.И. Глагольный залог в якутском и тувинском языках в сопоставлении с монгольскими и тунгусскими языками // Новые исследования Тувы. 2020. №1.
015	Postpositions	Большой толковый словарь якутского языка = Саха тылын быһаарыылаах улахан тылдьыта Т. 13. (Буква Х) = (Х буукуба) / Академия наук Республики Саха (Якутия), Институт гуманитарных исследований ; под общей редакцией П. А. Слепцова. - Новосибирск : Наука, 2004.
016	Adjective as a mean of expressing the comparative	Харабаева В.И. Прилагательные как средство выражения категории компаративности (на материале якутского языка) // МНИЖ. 2019. №7-2 (85).
017	Pretense and simulativeness	Филиппов, Г.Г. Категория притворства и симулятивности в якутском языке / Г. Г. Филиппов ; Северо-Восточный федеральный университет им. М. К. Аммосова // Вестник Северо-Восточного федерального университета им. М. К. Аммосова. Серия Алтаистика. – 2023. – N 1. – С. 37-51.
018	Verb of speech	Куличкина, М.Д. Глаголы речи подгруппы общения в современном якутском языке / М. Д. Куличкина // Филологические науки. Вопросы теории и практики. – 2015, N 6, ч. 2. - С. 110-112.
